"","segment","month","year","sim","state"
"780","20","3","4","1",2
"781","1","4","4","1",2
"782","2","4","4","1",2
"783","3","4","4","1",2
"784","4","4","4","1",2
"785","5","4","4","1",2
"786","6","4","4","1",2
"787","7","4","4","1",2
"788","8","4","4","1",1
"789","9","4","4","1",1
"790","10","4","4","1",1
"791","11","4","4","1",2
"792","12","4","4","1",2
"793","13","4","4","1",2
"794","14","4","4","1",2
"795","15","4","4","1",2
"796","16","4","4","1",2
"797","17","4","4","1",2
"798","18","4","4","1",2
"799","19","4","4","1",1
"800","20","4","4","1",2
"801","1","5","4","1",2
"802","2","5","4","1",2
"803","3","5","4","1",2
"804","4","5","4","1",2
"805","5","5","4","1",2
"806","6","5","4","1",2
"807","7","5","4","1",2
"808","8","5","4","1",2
"809","9","5","4","1",1
"810","10","5","4","1",1
"811","11","5","4","1",2
"812","12","5","4","1",2
"813","13","5","4","1",2
"814","14","5","4","1",2
"815","15","5","4","1",2
"816","16","5","4","1",2
"817","17","5","4","1",2
"818","18","5","4","1",2
"819","19","5","4","1",1
"820","20","5","4","1",2
"821","1","6","4","1",2
"822","2","6","4","1",2
"823","3","6","4","1",2
"824","4","6","4","1",2
"825","5","6","4","1",2
"826","6","6","4","1",2
"827","7","6","4","1",2
"828","8","6","4","1",2
"829","9","6","4","1",1
"830","10","6","4","1",2
"831","11","6","4","1",2
"832","12","6","4","1",2
"833","13","6","4","1",2
"834","14","6","4","1",2
"835","15","6","4","1",2
"836","16","6","4","1",2
"837","17","6","4","1",2
"838","18","6","4","1",1
"839","19","6","4","1",1
"840","20","6","4","1",2
"841","1","7","4","1",2
"842","2","7","4","1",2
"843","3","7","4","1",2
"844","4","7","4","1",2
"845","5","7","4","1",2
"846","6","7","4","1",2
"847","7","7","4","1",2
"848","8","7","4","1",1
"849","9","7","4","1",2
"850","10","7","4","1",1
"851","11","7","4","1",2
"852","12","7","4","1",2
"853","13","7","4","1",2
"854","14","7","4","1",2
"855","15","7","4","1",2
"856","16","7","4","1",2
"857","17","7","4","1",2
"858","18","7","4","1",1
"859","19","7","4","1",1
"860","20","7","4","1",2
"861","1","8","4","1",2
"862","2","8","4","1",2
"863","3","8","4","1",2
"864","4","8","4","1",2
"865","5","8","4","1",2
"866","6","8","4","1",2
"867","7","8","4","1",2
"868","8","8","4","1",1
"869","9","8","4","1",1
"870","10","8","4","1",1
"871","11","8","4","1",2
"872","12","8","4","1",2
"873","13","8","4","1",2
"874","14","8","4","1",2
"875","15","8","4","1",2
"876","16","8","4","1",2
"877","17","8","4","1",2
"878","18","8","4","1",1
"879","19","8","4","1",2
"880","20","8","4","1",2
"881","1","9","4","1",2
"882","2","9","4","1",2
"883","3","9","4","1",2
"884","4","9","4","1",2
"885","5","9","4","1",2
"886","6","9","4","1",2
"887","7","9","4","1",2
"888","8","9","4","1",1
"889","9","9","4","1",1
"890","10","9","4","1",2
"891","11","9","4","1",2
"892","12","9","4","1",2
"893","13","9","4","1",2
"894","14","9","4","1",2
"895","15","9","4","1",2
"896","16","9","4","1",2
"897","17","9","4","1",2
"898","18","9","4","1",1
"899","19","9","4","1",1
"900","20","9","4","1",2
"901","1","10","4","1",2
"902","2","10","4","1",2
"903","3","10","4","1",2
"904","4","10","4","1",2
"905","5","10","4","1",2
"906","6","10","4","1",2
"907","7","10","4","1",2
"908","8","10","4","1",1
"909","9","10","4","1",1
"910","10","10","4","1",1
"911","11","10","4","1",2
"912","12","10","4","1",2
"913","13","10","4","1",2
"914","14","10","4","1",2
"915","15","10","4","1",2
"916","16","10","4","1",2
"917","17","10","4","1",2
"918","18","10","4","1",1
"919","19","10","4","1",2
"920","20","10","4","1",2
"921","1","11","4","1",2
"922","2","11","4","1",2
"923","3","11","4","1",2
"924","4","11","4","1",2
"925","5","11","4","1",2
"926","6","11","4","1",2
"927","7","11","4","1",2
"928","8","11","4","1",2
"929","9","11","4","1",1
"930","10","11","4","1",1
"931","11","11","4","1",2
"932","12","11","4","1",2
"933","13","11","4","1",2
"934","14","11","4","1",2
"935","15","11","4","1",2
"936","16","11","4","1",2
"937","17","11","4","1",2
"938","18","11","4","1",2
"939","19","11","4","1",1
"940","20","11","4","1",2
"941","1","12","4","1",2
"942","2","12","4","1",2
"943","3","12","4","1",2
"944","4","12","4","1",2
"945","5","12","4","1",2
"946","6","12","4","1",2
"947","7","12","4","1",2
"948","8","12","4","1",2
"949","9","12","4","1",1
"950","10","12","4","1",1
"951","11","12","4","1",2
"952","12","12","4","1",2
"953","13","12","4","1",2
"954","14","12","4","1",2
"955","15","12","4","1",2
"956","16","12","4","1",2
"957","17","12","4","1",2
"958","18","12","4","1",1
"959","19","12","4","1",2
"960","20","12","4","1",2
"961","1","1","5","1",2
"962","2","1","5","1",2
"963","3","1","5","1",2
"964","4","1","5","1",2
"965","5","1","5","1",2
"966","6","1","5","1",2
"967","7","1","5","1",1
"968","8","1","5","1",2
"969","9","1","5","1",1
"970","10","1","5","1",2
"971","11","1","5","1",2
"972","12","1","5","1",2
"973","13","1","5","1",2
"974","14","1","5","1",2
"975","15","1","5","1",2
"976","16","1","5","1",2
"977","17","1","5","1",1
"978","18","1","5","1",1
"979","19","1","5","1",2
"980","20","1","5","1",1
"981","1","2","5","1",2
"982","2","2","5","1",2
"983","3","2","5","1",2
"984","4","2","5","1",2
"985","5","2","5","1",2
"986","6","2","5","1",1
"987","7","2","5","1",1
"988","8","2","5","1",2
"989","9","2","5","1",1
"990","10","2","5","1",2
"991","11","2","5","1",2
"992","12","2","5","1",2
"993","13","2","5","1",2
"994","14","2","5","1",1
"995","15","2","5","1",2
"996","16","2","5","1",2
"997","17","2","5","1",1
"998","18","2","5","1",1
"999","19","2","5","1",2
"1000","20","2","5","1",2
"1001","1","3","5","1",2
"1002","2","3","5","1",2
"1003","3","3","5","1",2
"1004","4","3","5","1",2
"1005","5","3","5","1",2
"1006","6","3","5","1",1
